iter	RMSE
978	1768096.548
979	1767700.393
980	1767376.597
981	1766886.343
982	1766617.749
983	1765882.094
984	1765561.135
985	1765328.427
986	1765138.693
987	1764672.664
988	1764315.472
989	1763966.703
990	1763557.779
991	1763234.9
992	1762755.339
993	1762478.115
994	1761935.943
995	1761346.718
996	1761200.487
997	1760781.327
998	1760259.016
999	1759860.978
